year,rank,top_100,name,pos,player_type,age,ht,wt,bats,throws,school,college_commit,future_value,plus,risk,report,video,frame,athleticism,levers,arm,statistical_performance,delivery
2021,11,,Matt McLain,SS,ColH,21.93,70,175,R,R,UCLA,,45,,Low,"Perhaps the most polished high school hit tool in the 2018 draft, McLain opted not to sign with Arizona as a first round pick. He had a tough freshman year at UCLA while playing in the outfield for the first time due to the draft-eligible depth in the Bruins' infield (Toglia, Strumpf, Kreidler); he then bounced back on the Cape and during an abbreviated 2020. Back at shortstop for most of 2021, McLain quelled concerns about his ability to play there. After a slow start with the bat he got hot in the middle of his junior year and solidified his status as a mid-first round prospect. McLain knows how to lift the ball in games despite having fringe raw power and his hit/pop combo should be enough to profile at either middle infield position or in center field if his new team wishes to revisit that. He's a high-probability big leaguer.",https://www.youtube.com/results?search_query=matt+mclain+mlb+draft,-1,0,Short,50,1,0
2021,12,,Ty Madden,SP,ColP,21.39,75,200,R,R,Texas,,45,,Med,"Madden's velocity has been up and down the last few years. He was up to 98 in the fall before his freshman year, then dipped into the high-80s during the spring of 2019 before he was shut down with a shoulder injury. He was back into the mid-90s during the early part of 2020 and touching the upper-90s during Texas' fall practices. Skepticism about his ability to hold that kind of stuff through a whole season proved prescient as Madden hit sort of a wall toward the end of the year, and his stuff was not as crisp. His delivery is very upright and his arm slot very vertical, so he works with downhill angle similar to a treacherous ski slope. That's not necessarily a good thing, as flat approach angles seem to miss more bats. He has a four-pitch mix led by a projected plus slider and is likely to come off the board in the middle of the first round.",https://www.youtube.com/results?search_query=ty+madden+mlb+draft,1,0,Long,,0,-1
2021,13,,Harry Ford,C,HSh,18.39,70,180,R,R,North Cobb HS,Georgia Tech,45,,High,"Ford is a very explosive, high-upside catching prospect with plus-plus bat speed. Tightly wound and muscular, he looks incredible during BP and has crude-looking, but effective feel for contact in games. It's not always flush, gorgeous-looking contact, but Ford finds a way to put the ball in play and his strength enables power. Though Ford is twitchy and has a big league catcher's physicality, he needs a lot of technical development behind the plate. As such, he might come out at a different position, maybe center field. The power and sneaky advanced feel to hit are the carrying traits here.",https://www.youtube.com/results?search_query=harry+ford+mlb+draft,2,1,Short,50,1,0
2021,14,,Gunnar Hoglund,SP,ColP,21.57,77,210,L,R,Ole Miss,,45,,Med,"Hoglund was many scout's favorite non-first round prep projection arm for 2018: up to 96, average off-speed stuff, but a clean delivery and frame with room to grow. He didn't sign as a comp pick of the Pirates and instead went to Ole Miss. He had growing pains as a freshman, but looked crisp in the fall of 2019, which was the start of his ascent to legitimate college ace. Through 2021 Hoglund was arguably the most polished college arm in the class, sitting in the low-90s, while dotting a plus slider on the corner with remarkable consistency. Healthy Hoglund has the best command in this draft. His fastball's tailing action garners looking strikes on the glove-side corner and sets up Hoglund's changeup, which needs to develop. Toward the ends of a dominant 2021, Hoglund looked awkward and uncomfortable warming up for a start and was removed from it early on. He would need Tommy John. We look at his rehab as an opportunity to rework a softer build and maybe exit the process with more velocity. TJ rehab or not, Hoglund has a great chance to be one of the first players from this class to reach the big leagues because of how advanced he is.",https://www.youtube.com/results?search_query=gunnar+hoglund+mlb+draft,-1,0,Short,,2,2
2021,15,,Benny Montgomery,CF,HSh,18.84,75,185,R,R,Red Land HS,Virginia,45,,High,"Montgomery is similar to Orioles 2020 overslot draftee Coby Mayo, in that he's a big-framed young guy who runs well underway and has a rare combination of bat speed and hand-eye coordination dressed in an ugly swing. His long speed gives him a chance to stay up the middle. He bears a resemblance to Bubba Starling with the present swing and there are teams who worry he won't hit. Montgomery is also going to be nearly 19 on draft day, which is going to cause model-driven teams to slide him down their boards. He's a high-variance high school outfielder, the kind that typically comes off the board in the middle of the first round.",https://www.youtube.com/results?search_query=benny+montgomery+mlb+draft,2,1,Med,60,0,0
2021,16,,Bubba Chandler,SS/SP,HSp,18.83,76,195,S,R,North Oconee HS,Clemson,40,Y,High,"Chandler is a multi-sport athlete who's committed to Clemson to play quarterback. He's an ultra-smooth, athletic righty with a backspinning fastball, power curveball, and changeup. Already in the late first round mix while his fastball was in the upper-80s, Chandler came out throwing harder as a high school senior and usually tops out in the 95-97 range during starts while sitting 92-94. You can run wild projecting on his command and secondary stuff once Chandler starts focusing on baseball, and maybe later once he focuses only on pitching. There's a real chance he comes out as a switch-hitting shortstop with mistake power. We have very little idea what Chandler would look like against pro-quality stuff but he's an ultra-athletic, switch-hitting athlete with impressive power already, so there's big ceiling if it turns out he can actually hit.",https://www.youtube.com/results?search_query=bubba+chandler+mlb+draft,1,2,Short,,0,2
2021,17,,Jordan Wicks,SP,ColP,21.86,75,220,L,L,Kansas State,,45,,Low,"Wicks has arguably the best changeup in the 2021 draft and his fastball, while not all that hard, has traits that enable it to play at the top of the strike zone, though Wicks hasn't yet worked up there with it. His breaking stuff is mediocre but workable so long as those pitches are located well, which Wicks' general feel for strike-throwing suggests they will be. After the Vanderbilt arms, Wicks is the surest healthy bet to stick in a rotation and move through the minors quickly. If his breaking ball improves, he'll be a mid-rotation starter.",https://www.youtube.com/results?search_query=jordan+wicks+mlb+draft,0,0,Short,,1,2
2021,18,,Sam Bachman,SIRP,ColP,21.78,73,225,R,R,Miami (OH),,45,,High,"A low-slot slingin' relief prospect, Bachman sat 91-94 in 2020 and showed a velo bump in the fall, working 94-96 with huge tail. He was often throwing harder than that in 2021, sitting 96-97 most of the time and touching 101. He doesn't always finish his slider but, even when he doesn't, hitters don't have a great look at it because Bachman's slot is low and funky. This makes it hard for him to turn over the changeup with consistency. At its best, that pitch looks like a way to get groundballs. Because of the limited repertoire, delivery, and spotty health track record, there's a lot of relief risk here. ",https://www.youtube.com/results?search_query=sam+bachman+mlb+draft,-1,-1,Med,,0,-1
2021,19,,Gavin Williams,SP,ColP,21.96,78,238,L,R,East Carolina,,45,,Med,"A solid prep prospect who mostly pitched 89-93 and had some interest in the low-to-mid six figures out of high school exploded on the scene in college, hitting 100 mph as a freshman. There was some associated arm soreness and Williams' secondary pitches were of mixed quality, but he progressed as a sophomore, working in the mid-90's and developing a two average breaking balls to go with starter's control. Williams' slider execution is especially consistent, though his curveball has the more visually-pleasing movement. Williams' curveball has good backfoot angle against lefties, so he's a good bet to start in pro ball even without a changeup.",https://www.youtube.com/results?search_query=gavin+williams+mlb+draft,2,0,Long,,2,0
2021,20,,Ryan Cusick,SIRP,ColP,21.66,78,215,R,R,Wake Forest,,45,,High,"Cusick has had issues with walks (he walked nearly a batter per inning in a shortened 2020 and one every other inning in '21) but he also has nasty, late-inning stuff (he K'd nearly two batters per inning). He'll touch 101 and his low-80s power slurve is plus when it's located. You'll see an occasional changeup and slider, but Cusick is pretty likely to be a pro reliever who leans on his two best pitches. There's a chance Cusick's strike-throwing is so poor that he busts entirely, but he has closer-level stuff.",https://www.youtube.com/results?search_query=ryan+cusick+mlb+draft,-1,0,Med,,0,-1
2021,21,,Andrew Painter,SP,HsP,18.25,78,210,R,R,Calvary Christian HS,Florida,45,,High,"Painter is a prototypical prep arm with an XXL frame, premium arm strength, and nascent feel for spin, and like many high schoolers of this ilk, he has a mid-rotation shot if everything comes together. Painter's fastball velocity climbed throughout the 2020 summer, and he wrapped sitting 94-97 during his last abbreviated showcase outing. He has three other pitches: a mid-80s changeup, a mid-70s curveball, and a mid-80s slider that has cuttery, horizontal action right now, but for which Painter has good arm-side feel. You could point to Tyler Kolek and argue there's some elevated risk in taking a kid this large in the first round, but his stuff belongs in the middle third of day one.",https://www.youtube.com/results?search_query=andrew+painter+mlb+draft,2,0,Long,,0,0
2021,22,,Joshua Baez,RF,HSh,18.04,75,210,R,R,Dexter Southfield HS,Vanderbilt,45,,High,"Baez is a prototypical right field prospect with big present power as well as frame-based projection, a big arm, and strikeouts that threaten to torpedo his profile. Those strikeouts were worse than the industry hoped during his 2021 varsity season. Baez has a long-levered swing that cuts through the middle of the zone. He plays both ways and is from the Northeast, so it's possible the feel for contact is still coming, but that demographic of player is also extremely risky. He is a prospect of extreme variance.",https://www.youtube.com/results?search_query=joshua+baez+mlb+draft,2,1,Long,55,-1,0
2021,23,,Jud Fabian,CF,ColH,20.79,73,180,R,L,Florida,,40,Y,Med,"It's been somewhat trendy for a top prospect or two to skip the draft as a high school senior and early-enroll at their college to reach college eligibility a year sooner, and that's what Fabian did in 2018. He had a good freshman season for a rookie in the SEC then went to the Cape and raked, which continued during his COVID-shortened sophomore year. Fabian has a rare, unfavorable ""backwards"" profile -- he hits right and throws left, limiting him to 1B/OF -- but he has huge tools and is one of the younger college players available in the 2021 draft because of his early matriculation. His hitting hands work in an explosive loop that give him low-ball power but also lead to a lot of strikeouts. Fabian had the second most strikeouts in Division-I with 80 in 270 plate appearances, he was eighth in homers... as a 20-year-old center fielder playing in the SEC. His hands load deep and high, and Fabian's bat path doesn't always look like it's going to work, but he still covers the zone from (nearly) top to bottom and can pull his hands in to get the barrel on inside pitches. It's rare for players who strike out this much to end up having consequential major league careers, but a team picking late in the first will see his upside as too big an opportunity to pass on.",https://www.youtube.com/results?search_query=jud+fabian+mlb+draft,0,1,Med,60,2,0
2021,24,,Connor Norby,2B,ColH,21.09,70,187,R,R,East Carolina,,40,Y,Med,"Norby has been quietly sliding up draft boards this spring, and the quality of his at-bats against Kumar Rocker and Jack Leiter during super-regional play cemented his chances of a possible late-first round selection, as he finished the year with a .415/.484/.659 batting line. He’s not a big tools player, but he has a pro-level approach, a feel to hit and enough sneaky pop to be dangerous. Scouts dream on him as an average, but fundamentally sound defender at second base who can hit .280 with double-digits in the home runs and stolen base columns to go with a solid walk rate, while also offering few risks of things going wrong than most picks.",https://www.youtube.com/results?search_query=connor+norby+mlb+draft,0,0,Med,40,2,0
2021,25,,Joe Mack,C,HSh,18.54,73,203,L,R,Williamsville East HS,Clemson,40,Y,High,"Mack (whose brother Charles was drafted by the Twins a few years ago) is a lefty-hitting catcher with a big frame, above-average bat speed, and an upright swing. Mack's cut has gorgeous natural loft (but is quite long) and he's a loose, explosive rotator. Because he's an Upstate New York high schooler, Mack's showcase summer is of particular importance. He hit well at the events he attended, but he certainly has some swing- and demographic-related risk since high school catchers are low-probability prospects. He might play some 3B/2B in pro ball. There's everyday talent here with considerable risk.",https://www.youtube.com/results?search_query=joe+mack+mlb+draft,1,1,Med,60,0,0
2021,26,,Wes Kath,SS,HSh,18.94,75,200,L,R,Desert Mountain HS,Arizona St.,40,Y,High,"Kath has one of the sweeter swings in the draft. He was seen a lot in a wood bat summer league in Arizona during the summer before his senior year and led his team to a state title the following spring. Kath has that hitterish, no batting gloves style and a rhythmic, well-timed cut. He can turn on balls with big power and routinely whistles balls to the oppo gap. There's huge disagreement about Kath's ultimate defensive fit. He's a smooth defender but a slow-twitch athlete with a big frame. He doesn't have much room to slow down and remain at short, and it's likely that he'll get bigger as he enters his 20s because he's such a broad-shouldered guy. Teams who like him best at least think he can be a shift-enabled middle-infielder because of his hands and actions. On the low end, teams think he'll end up at first base, and don't see the explosive power package to support that profile. It's likely a team calls Kath's name late in the first round or in the comp, though some have him in round three or four.",https://www.youtube.com/results?search_query=wes+kath+mlb+draft,1,0,Long,50,2,0
2021,27,,Braden Montgomery,SP/SS,HSp,18.24,74,201,S,R,Madison Central HS,Stanford,40,Y,High,"Montgomery is very likely to end up at Stanford rather than be picked in this draft, so while he's a late first round prospect right now, he's a name to stash and watch for the 2024 draft coming out of college. A two-way player, Montgomery has above-average bat speed from both sides of the plate but his swing elements are raw from both sides, especially the left. There's more bat control from the right side but general concerns about swing playability cause one to prefer him on the mound. This is the best on-mound athlete in the draft. He's 89-92, with a really gorgeous delivery, and a breaking ball that has shape but not bite yet. He's a dev project with a chance for growth based on considerable athleticism.",https://www.youtube.com/results?search_query=braden+montgomery+mlb+draft,2,2,Med,,0,2
2021,28,,Frank Mozzicato,SP,HSp,18.06,75,170,L,L,East Catholic HS,UConn,40,Y,High,"It’s tough to measure the performance of Northeast prep players due to the level of competition, but Mozzicato certainly performed this spring, throwing a one-hit, 17-strikeout shutout in the state championship game and ending his year with a 49.2 inning scoreless streak. He’s good-frame, athletic southpaw with clean mechanics and while his fastball doesn’t light-up the radar guns at 90-92 mph, scouts are near universal in their projection of more velocity to come. His best pitch is a present plus curveball with heavy downward action that checks plenty of team’s analytical boxes. He’ll flash a rare changeup that should end up average. Mizzicato throws a lot of strikes, but like most prep arms, will need to learn how to command within the zone. He might need a bit more seasoning than other seven-figure high school pitchers, but provides middle-of-the-rotation upside.",https://www.youtube.com/results?search_query=frank+mozzicato+mlb+draft,0,1,Long,,0,0
2021,29,,Will Taylor,SS,HSh,18.50,72,175,R,R,Dutch Fork HS,Clemson,40,Y,High,"Taylor is a three-sport athlete (two-time wrestling state champ, football, baseball) committed to Clemson to play two (baseball and football), but he might come off the board early enough to sign rather than get to campus. Taylor can absolutely fly and he puts on an impressive show for someone his size during BP. Though he's got a somewhat slight frame, Taylor has the sinewy strength of a wrestler and has promising pull-side pop, though he's more contact-oriented in games. He's a fantastic developmental prospect will four- or five-tool potential.",https://www.youtube.com/results?search_query=will+taylor+mlb+draft,1,2,Short,45,0,0
2021,30,,Carson Williams,SS/SIRP,HSh,18.04,72,180,R,R,Torrey Pines HS,Cal,40,Y,High,"Williams belongs to one of the more attractive draft profiles as a middle infielder from southern California who has performed well. Williams has the clock and actions to remains at shortstop long-term, as well as one of the better infield arms in the class. He answered some questions about his power this spring as nearly half of his hits went for extra bases as he kept his average above .500 against strong competition. He’s a solid runner who stole 33 bases in 29 games this spring. The total package has everyday shortstop possibilities, which could move him into the back of the first round. He turns 18 just two weeks before the draft, which also helps his stock.",https://www.youtube.com/results?search_query=carson+williams+mlb+draft,1,1,Long,70,0,0
2021,31,,Aaron Zavala,3B,ColH,21.05,72,193,L,R,Oregon,,40,Y,Med,"Zavala’s profile reads like West Coast Michael Busch. He’s a premium performance lefty stick with some past experience at a more favorable defensive position than he’s playing now. Zavala spent all of 2021 in right field but played third base during the shortened 2020. While definitely well-below average there (several of those games were against Grand Canyon), Zavala was able to make easy plays and it’s worth a try in pro ball to see if he can improve enough to stick. 
His bat is the carrying attribute, though. Zavala is very physical, he has above-average bat control, and a great idea of the strike zone and in which parts of it he’s capable of doing damage. He walked 50 times and struck out just 31 in 2020 while slashing .392/.525/.628 in the Pac-12. Zavala can turn on mistakes up, and while he doesn’t always cover the outer third, he typically does a good job laying off pitches that are out there, and if they catch enough of the plate he can drive them the other way with power. He also has an advanced two-strike approach. We think that once clubs start to have meetings and the results of draft models become known, Zavala will rise as high as the back of round one. Big conference lefty sticks with hit/power/approach troikas aren’t exactly common, and Zavala is barely going to be 21 on draft day. All it’s going to take is a team thinking that Zavala can actually play third base for him to go that early.",https://www.youtube.com/results?search_query=aaron+zavala+mlb+draft,0,-1,Med,40,2,0
2021,32,,Anthony Solometo,SP,HSp,18.61,77,218,L,L,Gloucester Catholic HS,North Carolina,40,Y,High,"Solometo's delivery garners Madison Bumgarner comps because of his long lefty arm swing. He only sits in the 87-91 range right now (has been up to 94) but Solometo commands it to his arm side and the pitch has impact tailing action. His delivery also creates tough angle on a sweeping slider, which is really his only secondary pitch right now. It will be a long-term weapon against righties and lefties, though. SOlometo's feel for locating those pitches give him start projection even though he needs a third pitch. ",https://www.youtube.com/results?search_query=anthony+solometo+mlb+draft,0,0,Long,,0,0
2021,33,,Tyler Black,2B,ColH,20.96,74,190,L,R,Wright St.,,40,Y,Med,"A big performer from a smaller school, Black has shown enough against good competition early and late in the season to provide more comfort to scouts in a high selection. With an outstanding feel for the strike zone, Black waits for pitches to drive and then does just that, showing average power from the left side with a mechanically sound swing that produces a lot of contact. His approach can waiver from patient to passive at times, and he’ll need to add some aggression to game as a pro. A lack of twitch and a fringy arm limit him to the right side of the infield, but the team who selects Frank is doing so because of the bat.",https://www.youtube.com/results?search_query=tyler+black+mlb+draft,0,0,Short,45,2,0
2021,34,,Ethan Wilson,LF,ColH,21.68,74,205,L,L,South Alabama,,40,Y,High,"Wilson is a small school hitter with strikeout issues, which is a bit scary, but he also has monster power that he's gotten to in games throughout his college career despite his strikeouts.",https://www.youtube.com/results?search_query=ethan+wilson+mlb+draft,0,-1,Short,50,1,0
2021,35,,Matheu Nelson,C,ColH,22.53,71,195,R,R,Florida St.,,40,Y,Med,"Nelson was a draft-eligible sophomore in 2020 but he had a bad, short stretch before the COVID shutdown, striking out in about a third of his at-bats. He went undrafted. Then, in his junior year, Nelson slugged .773 and hit 23 bombs while posting a more managable strikeout rate and doing an acceptable job behind the plate. Nelson is a palatable receiver (one knee, then squats w/ two strikes and rummers on) who can post sub-two-second pop times from his knees, though not often with precise accuracy. Nelson is a willing but unskilled ball blocker, which is the part of his game that needs to most immediate polish. Huge power and an ability to play a premium position put him in the comp round area.",https://www.youtube.com/results?search_query=matheu+nelson+mlb+draft,-1,-1,Med,55,1,0
2021,36,,Matt Mikulski,MIRP,ColP,22.18,76,205,L,L,Fordham,,45,,High,"A senior at Fordham, Mikulski’s velocity has exploded and his strike-throwing has improved, changes that coincide with a shortened arm action. He’s gone from topping out around 94 to sitting 93-96 and topping out around 100, per Synergy Sports. Mikulski’s delivery is pretty violent and he has a nasty head whack but he also has pretty consistent feel for all four of his pitches, especially his changeup. Where Mikulski ends up being drafted will probably be impacted by his signability. He’s a senior and has less leverage than someone with more college eligibility remaining, which means a team might want to take him early for an underslot bonus and then try to sign a falling high schooler to an overslot deal later. We saw a version of this happen with Landon Knack last year, but Mikulski has a better chance to start and has performed against slightly better competition. There's relief risk here because of the mechanical stiffness, but Mikulski's pitch execution with the new delivery has been pretty consistent. He may end up a multi-inning power reliever in the end, but that still fits toward the back of the first round.",https://www.youtube.com/results?search_query=matt+mikulski+mlb+draft,-1,-1,Short,,1,-1
2021,37,,Jaden Hill,MIRP,ColP,21.55,76,215,R,R,LSU,,40,Y,High,"Hill was built like a quarterback in high school and had a fastball that sat 90-94 and an easy plus changeup, but he was unspeakably wild and ended up at LSU. He showed occasional feel to pitch as a Tiger freshman and looked to be turning the corner in the weekend rotation when he went down with a strained UCL. He didn't pitch in the fall but was ready to go for his sophomore spring and was up to 97 in the preseason before being up to 99 during the early part of the shortened 2020 campaign. After generating mixed results early in 2021, Hill blew out and needed Tommy John. In addition to his changeup, Hill has two breaking balls (LSU calls them a slider and cutter, but they have more curve/modern slider sensibilities), the best of which is a slider/cutter in the 88-90 mph range. He looks like a late-inning power bullpen arm.",https://www.youtube.com/results?search_query=jaden+hill+mlb+draft,1,1,Med,,0,-1
